id,army,size,unit,xcoord,ycoord
"1",K,"10",KJ,20.1207418538653,53.4710458640855
"13",K,"8",KJ,20.1455450671828,53.4944812531391
"7",K,"10",KJ,20.1340279868813,53.4832103812052
"4",K,"10",KJ,20.1267481221883,53.476249675507
"2",K,"10",KJ,20.1235382945825,53.4722860247514
"3",K,"10",KJ,20.1257754471562,53.4753742679781
"5",K,"10",KJ,20.1288241754598,53.4794655823318
"6",K,"10",KJ,20.1318881018108,53.4818000024087
"10",K,"10",KJ,20.1399035519969,53.4896665117304
"11",K,"8",KJ,20.142335239577,53.4922927343169
"12",K,"9",KJ,20.1446696596539,53.4941894506295
"8",K,"10",KJ,20.1348456418302,53.4869491008596
"9",K,"10",KJ,20.1377636669263,53.4884993016919
"14",K,"7",KJ,20.1200457832955,53.4711248939319
"15",K,"8",KJ,20.1243255534366,53.474042919028
"16",K,"9",KJ,20.1257845659847,53.4761828040986
"17",K,"7",KJ,20.1275353810424,53.4782254216659
"18",K,"8",KJ,20.1300643361257,53.4803653067364
"19",K,"9",KJ,20.1330796287251,53.4829428955714
"20",K,"10",KJ,20.1345538393205,53.4869977346113
"21",K,"6",KJ,20.1368882593975,53.4878184291695
"22",K,"10",KJ,20.139514481984,53.4891801742144
"23",K,"10",KJ,20.1407789595257,53.4905419192592
"24",K,"10",KJ,20.142821577093,53.4928763393362
"25",K,"10",KP,20.1231978583213,53.4718969547385
"26",K,"10",KP,20.1274137966634,53.4764016559808
"27",K,"10",KP,20.1315962993012,53.4806814261218
"28",K,"10",KP,20.1359155843654,53.4874840721272
"29",K,"10",KP,20.1440374208831,53.4935572118586
"35",K,"10",KJ,20.1129280178467,53.4669282831195
"36",K,"10",KJ,20.1084091637704,53.4675855709851
"37",K,"10",KJ,20.1147690212466,53.4793683148285
"38",K,"10",KJ,20.1230610758949,53.4887303120121
"39",K,"10",KJ,20.1274381135391,53.491064732089
"40",K,"1",KM,20.1260520516185,53.4859338712949
"41",K,"10",KJ,20.11092695487,53.4849125625113
"42",K,"10",KJ,20.1093706748187,53.4824322411795
"43",K,"10",KJ,20.1061908172238,53.4848393774583
"44",K,"10",KJ,20.1031508608452,53.4841820895927
"45",K,"10",KJ,20.1008503533155,53.4776913719194
"46",K,"10",KJ,20.0988784897185,53.4789237866675
